top - 14:26:21 up  4:36,  1 user,  load average: 1,52, 1,15, 1,08
Tasks: 211 total,   1 running, 210 sleeping,   0 stopped,   0 zombie
%Cpu(s):  9,1 us,  3,0 sy,  0,0 ni, 83,3 id,  3,0 wa,  1,5 hi,  0,0 si,  0,0 st
MiB Mem :   2993,8 total,    153,1 free,   1905,0 used,    935,7 buff/cache
MiB Swap:   3072,0 total,   3071,7 free,      0,3 used.    755,5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    749 superad+  20   0  467388  94752  63040 S  18,8   3,1  32:23.26 xfwm4
  26775 root      20   0       0      0      0 I  12,5   0,0   2:08.18 kworker+
  28578 superad+  20   0  921228 101932  89640 S   6,2   3,3   0:21.10 chromium
  34209 root      20   0       0      0      0 I   6,2   0,0   0:30.33 kworker+
  36375 superad+  20   0   13296   3452   3092 R   6,2   0,1   0:00.01 top
      1 root      20   0  122052  10472   7988 S   0,0   0,3   0:01.92 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_par+
      6 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
      8 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mm_perc+
      9 root      20   0       0      0      0 S   0,0   0,0   0:01.61 ksoftir+
     10 root      -2   0       0      0      0 S   0,0   0,0   0:00.00 rcuc/0
     11 root      -2   0       0      0      0 I   0,0   0,0   0:04.59 rcu_pre+
     12 root      -2   0       0      0      0 S   0,0   0,0   0:00.00 rcub/0
     13 root      rt   0       0      0      0 S   0,0   0,0   0:00.03 migrati+
     14 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     16 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/0
     17 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/1
     18 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     19 root      rt   0       0      0      0 S   0,0   0,0   0:00.03 migrati+
     20 root      -2   0       0      0      0 S   0,0   0,0   0:00.00 rcuc/1
     21 root      20   0       0      0      0 S   0,0   0,0   0:02.04 ksoftir+
     23 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     24 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/2
     25 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     26 root      rt   0       0      0      0 S   0,0   0,0   0:00.02 migrati+
     27 root      -2   0       0      0      0 S   0,0   0,0   0:00.00 rcuc/2
     28 root      20   0       0      0      0 S   0,0   0,0   0:03.07 ksoftir+
     30 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     31 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/3
     32 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     33 root      rt   0       0      0      0 S   0,0   0,0   0:00.03 migrati+
     34 root      -2   0       0      0      0 S   0,0   0,0   0:00.00 rcuc/3
     35 root      20   0       0      0      0 S   0,0   0,0   0:01.96 ksoftir+
     37 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     38 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kdevtmp+
     39 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 netns
     40 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_tas+
     41 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kauditd
